date,amount,description,category
2024-03-01,250,SWIGGY ORDER MUMBAI,Food
2024-03-01,300,ZOMATO DELIVERY,Food
2024-03-02,500,UBER TRIP BLR,Transport
2024-03-02,220,OLA CAB RIDE,Transport
2024-03-03,1500,AMAZON SHOPPING,Shopping
2024-03-03,1200,FLIPKART ORDER,Shopping
2024-03-04,800,NETFLIX SUBSCRIPTION,Entertainment
2024-03-04,199,SPOTIFY PREMIUM,Entertainment
2024-03-05,3000,RENT PAYMENT, Housing
2024-03-05,3200,MONTHLY RENT, Housing
2024-03-06,1000,ELECTRICITY BILL,Utilities
2024-03-06,700,WATER BILL,Utilities
2024-03-07,270,SWIGGY*ORDER123,Food
2024-03-07,350,ZOMATO FOOD ORDER,Food
2024-03-08,550,UBER TRIP HYD,Transport
2024-03-08,200,OLA AUTO,Transport
2024-03-09,1800,AMZN Mktp IN,Shopping
2024-03-09,1400,FLIPKART SALE,Shopping
2024-03-10,899,NETFLIX INDIA,Entertainment
2024-03-10,149,SPOTIFY INDIA,Entertainment
2024-03-11,3100,HOUSE RENT, Housing
2024-03-11,2800,RENT TRANSFER, Housing
2024-03-12,950,POWER BILL PAYMENT,Utilities
2024-03-12,600,GAS BILL,Utilities
2024-03-13,290,SWIGGY FOOD DELIVERY,Food
2024-03-13,330,ZOMATO ONLINE ORDER,Food
2024-03-14,480,UBER RIDE,Transport
2024-03-14,210,OLA CAB PAYMENT,Transport
2024-03-15,2000,AMAZON ELECTRONICS,Shopping
2024-03-15,1100,FLIPKART MOBILE,Shopping
2024-03-16,799,NETFLIX AUTO PAY,Entertainment
2024-03-16,199,SPOTIFY SUBSCRIPTION,Entertainment
2024-03-17,3500,MONTHLY HOUSE RENT, Housing
2024-03-17,3000,RENT PAYMENT ONLINE, Housing
2024-03-18,1200,ELECTRICITY BILL PAYMENT,Utilities
2024-03-18,650,WATER CHARGES,Utilities
2024-03-19,260,SWIGGY LUNCH ORDER,Food
2024-03-19,310,ZOMATO DINNER,Food
2024-03-20,520,UBER TRAVEL,Transport
2024-03-20,190,OLA BIKE,Transport
2024-03-21,1700,AMZN PURCHASE,Shopping
2024-03-21,1300,FLIPKART FASHION,Shopping
2024-03-22,850,NETFLIX PAYMENT,Entertainment
2024-03-22,199,SPOTIFY AUTO,Entertainment
2024-03-23,3100,RENT PAYMENT, Housing
2024-03-23,3300,HOME RENT, Housing
2024-03-24,1050,ELECTRICITY BILL,Utilities
2024-03-24,700,GAS PAYMENT,Utilities
